OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
398,3163-001,KEPLER BEND,WASSERMAN DR,W CUL-DE-SAC,Local,3163-001 KEPLER BEND From WASSERMAN DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,75,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,L10,93763,0.2396832,1265.53,2024/08/21 21:27:27+00,2025,0.64,2024/09/09 18:16:58+00,482.000766536466
399,0739-005,WASSERMAN DR,KEPLER BEND,DWYER RD,Local,0739-005 WASSERMAN DR From KEPLER BEND To DWYER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,78,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,L10,97080,0.23891283,1261.46,2024/08/21 21:27:27+00,2025,0.6,2024/09/09 18:16:58+00,479.888521488261
400,1005-001,AVANT CT,GALVANI DR (NB),S CUL-DE-SAC,Local,1005-001 AVANT CT From GALVANI DR (NB) To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,82,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,18317,0.08785454,463.87,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,176.665502607525
401,0408-004,GALVANI DR (NB),AVANT CT,GALVANI CT,Local,0408-004 GALVANI DR (NB) From AVANT CT To GALVANI CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,83,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,M10,16277,0.05654201,298.54,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,113.723484351405
402,2544-001,GALVANI CT,GALVANI DR (NB),W CUL-DE-SAC,Local,2544-001 GALVANI CT From GALVANI DR (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,40,0,87,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,20387,0.05371364,283.61,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,107.932904103626
403,0378-003,DWYER RD,GALVANI DR (NB),GALVANI DR (NB),Local,0378-003 DWYER RD From GALVANI DR (NB) To GALVANI DR (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,80,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,L10,94779,0.32844266,1734.18,2024/08/21 21:27:27+00,2025,0.79,2024/09/09 18:16:58+00,660.419766188916
404,3374-003,LEVY LO,LEVY CT,LEVY LO,Local,3374-003 LEVY LO From LEVY CT To LEVY LO,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,79,2,1999/06/06 04:00:00+00,PINE MEADOWS,District 5,M10,26284,0.32284443,1704.62,2024/08/21 21:27:27+00,2025,0.78,2024/09/09 18:16:58+00,649.666111414243
405,6508-001,SHIRLEY LANDING DR,E CUL-DE-SAC,BLACKWATER RD,Local,6508-001 SHIRLEY LANDING DR From E CUL-DE-SAC To BLACKWATER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,82,2,2002/01/23 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,H22,773398,0.20267493,1070.12,2024/08/21 21:27:27+00,2025,0.47,2024/09/09 18:16:58+00,405.84706926217
406,5939-001,OAKUM CREEK LA,PRINCESS ANNE RD (NB),OAKUM CREEK DR,Local,5939-001 OAKUM CREEK LA From PRINCESS ANNE RD (NB) To OAKUM CREEK DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,78,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,K21,57721,0.13656,721.04,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,273.645925560745
407,5879-001,OAKUM CREEK DR,OAKUM CREEK LA,W CUL-DE-SAC,Local,5879-001 OAKUM CREEK DR From OAKUM CREEK LA To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,54,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,K21,94262,0.08135426,429.55,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,163.418504664961
408,0095-002,PUNGO FERRY RD,002500 FT,START BRIDGE,Collector,0095-002 PUNGO FERRY RD From 002500 FT To START BRIDGE,CITY MAINTAINED VDOT FUNDED,55,ASPHALT,35,4095,67,2,1998/08/25 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J20,90833,0.0886445,468.04,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,177.523193393755
409,0095-001,PUNGO FERRY RD,PRINCESS ANNE RD (NB),002500 FT,Collector,0095-001 PUNGO FERRY RD From PRINCESS ANNE RD (NB) To 002500 FT,CITY MAINTAINED VDOT FUNDED,45,ASPHALT,32,4095,61,2,1998/08/25 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J20,90832,0.47305961,2497.75,2024/08/21 21:27:27+00,2025,1.26,2024/09/09 18:16:58+00,947.466628224976
410,1253-001,BLOSSOM HILL CT,PRINCESS ANNE RD (NB),W CUL-DE-SAC,Local,1253-001 BLOSSOM HILL CT From PRINCESS ANNE RD (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,67,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J19,18632,0.13819844,729.69,2024/08/21 21:27:27+00,2025,0.38,2024/09/09 18:16:58+00,277.082599707092
411,4316-001,PRINCESS ANNE CT,PRINCESS ANNE RD (NB),W CUL-DE-SAC,Local,4316-001 PRINCESS ANNE CT From PRINCESS ANNE RD (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,73,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,J19,42032,0.09510775,502.17,2024/08/21 21:27:27+00,2025,0.28,2024/09/09 18:16:58+00,190.506671233298
412,3851-001,NANNEYS CREEK CT,NANNEYS CREEK RD,DEERE CT,Local,3851-001 NANNEYS CREEK CT From NANNEYS CREEK RD To DEERE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,62,2,1999/04/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,L18,96024,0.31313937,1653.38,2024/08/21 21:27:27+00,2025,0.63,2024/09/09 18:16:58+00,630.096565617773
413,0362-002,DAWLEY RD,002500 FT,PLEASANT RIDGE RD,Local,0362-002 DAWLEY RD From 002500 FT To PLEASANT RIDGE RD,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,20,0,29,2,2000/09/05 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,L16,444273,0.40339456,2129.92,2024/08/21 21:27:27+00,2025,0.67,2024/09/09 18:16:58+00,811.80773097824
414,0104-019,SANDPIPER RD (NB),MARLIN LA,SHAD LA,Collector,0104-019 SANDPIPER RD (NB) From MARLIN LA To SHAD LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,34,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,O12,,0.05668237,299.28,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,114.149733980116
415,0727-002,UPTON DR (NB),ELSON GREEN AV,MILL CROSSING DR,Local,0727-002 UPTON DR (NB) From ELSON GREEN AV To MILL CROSSING DR,CITY MAINTAINED VDOT FUNDED,40,ASPHALT,32,21737,69,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L12,769730,0.17729156,936.1,2024/08/21 21:27:27+00,2025,0.47,2024/09/09 18:16:58+00,357.063745649212
416,0388-013,ELSON GREEN AV,PRINCESS ANNE RD (NB),S DEAD END,Local,0388-013 ELSON GREEN AV From PRINCESS ANNE RD (NB) To S DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,65,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,K12,1279470,0.27173245,1434.75,2024/08/21 21:27:27+00,2025,0.68,2024/09/09 18:16:58+00,546.849925167793
417,3634-001,MATTAPONI RD,GEORGE MASON DR (SB),COURTHOUSE DR (WB),Local,3634-001 MATTAPONI RD From GEORGE MASON DR (SB) To COURTHOUSE DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,29,2,1999/06/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,21968,0.13613477,718.79,2024/08/21 21:27:27+00,2025,0.34,2024/09/09 18:16:58+00,273.921530181645
418,3634-002,MATTAPONI RD,COURTHOUSE DR (WB),S DEAD END,Local,3634-002 MATTAPONI RD From COURTHOUSE DR (WB) To S DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,75,2,1999/06/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,21969,0.08320792,439.34,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,167.435546146978
419,2588-003,GEORGE MASON DR (SB),MATTAPONI RD,NORTH LANDING RD,Local,2588-003 GEORGE MASON DR (SB) From MATTAPONI RD To NORTH LANDING RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,66,2,1999/05/13 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,97945,0.15792572,833.85,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,317.197403433966
420,2588-002,GEORGE MASON DR (SB),JAMES MADISON BL (SB),MATTAPONI RD,Local,2588-002 GEORGE MASON DR (SB) From JAMES MADISON BL (SB) To MATTAPONI RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,61,2,1999/05/13 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,38409,0.117712,621.52,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,236.434705470601
421,2588-001,GEORGE MASON DR (SB),NIMMO PW (EB),JAMES MADISON BL (SB),Local,2588-001 GEORGE MASON DR (SB) From NIMMO PW (EB) To JAMES MADISON BL (SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,52,2,1999/05/13 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,38408,0.21484508,1134.38,2024/08/21 21:27:27+00,2025,0.45,2024/09/09 18:16:58+00,431.611788261953
422,2589-003,GEORGE MASON DR (NB),JAMES MADISON BL (NB),NIMMO PW (EB),Local,2589-003 GEORGE MASON DR (NB) From JAMES MADISON BL (NB) To NIMMO PW (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,62,2,1999/05/13 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,97946,0.2226158,1175.41,2024/08/21 21:27:27+00,2025,0.46,2024/09/09 18:16:58+00,447.219463708022
423,6170-001,JAMES MADISON BL (SB),PRINCESS ANNE RD (NB),GEORGE MASON DR (SB),Local,6170-001 JAMES MADISON BL (SB) From PRINCESS ANNE RD (NB) To GEORGE MASON DR (SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,42,2,1999/04/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,95969,0.27946924,1475.6,2024/08/21 21:27:27+00,2025,0.65,2024/09/09 18:16:58+00,562.333264335869
424,2589-002,GEORGE MASON DR (NB),MATTAPONI RD,JAMES MADISON BL (NB),Local,2589-002 GEORGE MASON DR (NB) From MATTAPONI RD To JAMES MADISON BL (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,42,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,20454,0.10903201,575.69,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,219.004919416756
425,2589-001,GEORGE MASON DR (NB),JAMES MADISON BL (NB),MATTAPONI RD,Local,2589-001 GEORGE MASON DR (NB) From JAMES MADISON BL (NB) To MATTAPONI RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,65,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,20453,0.16243973,857.68,2024/08/21 21:27:27+00,2025,0.37,2024/09/09 18:16:58+00,326.266021816138
426,1887-003,COURTHOUSE DR (WB),MATTAPONI RD,JAMES MADISON BL (NB),Local,1887-003 COURTHOUSE DR (WB) From MATTAPONI RD To JAMES MADISON BL (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,48,2,1999/05/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,25776,0.10962204,578.8,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,220.214758815684
427,1887-002,COURTHOUSE DR (WB),ADMIRAL DEGRASSE WY,MATTAPONI RD,Local,1887-002 COURTHOUSE DR (WB) From ADMIRAL DEGRASSE WY To MATTAPONI RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,52,2,1999/05/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,25775,0.06717437,354.68,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,134.948598606284
428,0844-001,ADMIRAL DEGRASSE WY,PRINCESS ANNE RD (NB),COURTHOUSE DR (WB),Local,0844-001 ADMIRAL DEGRASSE WY From PRINCESS ANNE RD (NB) To COURTHOUSE DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,62,2,1999/04/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,25406,0.12433943,656.51,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,250.176738279052
429,1887-001,COURTHOUSE DR (WB),NORTH LANDING RD,ADMIRAL DEGRASSE WY,Local,1887-001 COURTHOUSE DR (WB) From NORTH LANDING RD To ADMIRAL DEGRASSE WY,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,58,2,1999/05/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,25774,0.16696259,881.56,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,335.397156691749
430,6251-002,COURTHOUSE DR (EB),MATTAPONI RD,NORTH LANDING RD,Local,6251-002 COURTHOUSE DR (EB) From MATTAPONI RD To NORTH LANDING RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,37,2,1999/05/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,97824,0.23273158,1228.82,2024/08/21 21:27:27+00,2025,0.48,2024/09/09 18:16:58+00,467.52234701982
431,3062-002,JAMES MADISON BL (NB),COURTHOUSE DR (WB),PRINCESS ANNE RD (NB),Local,3062-002 JAMES MADISON BL (NB) From COURTHOUSE DR (WB) To PRINCESS ANNE RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,33,2,1999/04/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,95968,0.13930898,735.55,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,280.303285923562
432,3062-001,JAMES MADISON BL (NB),GEORGE MASON DR (SB),COURTHOUSE DR (WB),Local,3062-001 JAMES MADISON BL (NB) From GEORGE MASON DR (SB) To COURTHOUSE DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,63,2,1999/04/06 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,95967,0.13152278,694.44,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,264.653681947295
433,6251-001,COURTHOUSE DR (EB),JAMES MADISON BL (NB),MATTAPONI RD,Local,6251-001 COURTHOUSE DR (EB) From JAMES MADISON BL (NB) To MATTAPONI RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,63,2,1999/05/08 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,I12,97823,0.11009559,581.3,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,221.166151730865
434,0104-032,SANDPIPER RD (NB),SANDFIDDLER RD,MILITARY GATE,Collector,0104-032 SANDPIPER RD (NB) From SANDFIDDLER RD To MILITARY GATE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,65,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N11,,0.03474339,183.45,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,69.9968250913681
435,4718-002,SCHUMANN DR,DOLPHIN SPIRIT DR,DA VINCI DR,Local,4718-002 SCHUMANN DR From DOLPHIN SPIRIT DR To DA VINCI DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,55,2,1998/08/27 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M11,1727049,0.36963911,1951.69,2024/08/21 21:27:27+00,2025,0.99,2024/09/09 18:16:58+00,742.17753875225
436,4718-001,SCHUMANN DR,FIREFALL DR,DOLPHIN SPIRIT DR,Local,4718-001 SCHUMANN DR From FIREFALL DR To DOLPHIN SPIRIT DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,68,2,1998/08/27 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M11,96476,0.05221478,275.69,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,104.978059264629
437,0398-007,FIREFALL DR,SCHUMANN DR,E DEAD END,Local,0398-007 FIREFALL DR From SCHUMANN DR To E DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,45,2,1998/08/27 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M11,92841,0.34702246,1832.28,2024/08/21 21:27:27+00,2025,0.87,2024/09/09 18:16:58+00,696.539751592306
438,7012-015,NIMMO PW (EB),WISTERIA LA,NEWSTEAD DR,Arterial Major,7012-015 NIMMO PW (EB) From WISTERIA LA To NEWSTEAD DR,CITY MAINTAINED VDOT FUNDED,40,ASPHALT,24,20668,65,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,1828706,0.19656206,1037.85,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,394.46608939166
439,7012-014,NIMMO PW (EB),GENERAL BOOTH (NB),WISTERIA LA,Arterial Major,7012-014 NIMMO PW (EB) From GENERAL BOOTH (NB) To WISTERIA LA,CITY MAINTAINED VDOT FUNDED,40,ASPHALT,33,20668,68,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,767679,0.07614366,402.04,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,152.780756713174
440,6601-001,MCCOMAS WY (EB),NIMMO PW (WB),END MEDIAN,Local,6601-001 MCCOMAS WY (EB) From NIMMO PW (WB) To END MEDIAN,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,75,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,1109201,0.03106848,164.04,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,62.6074865826764
441,7011-002,NIMMO PW (WB),RED MILL COMMONS SHOPPING CENTER,NEWSTEAD DR,Arterial Major,7011-002 NIMMO PW (WB) From RED MILL COMMONS SHOPPING CENTER To NEWSTEAD DR,CITY MAINTAINED VDOT FUNDED,40,ASPHALT,28,20668,73,2,1998/10/28 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,88716,0.16772462,885.59,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,336.759942075524
442,5050-003,STRAWBRIDGE RD,MANSION CROSS LA,LONDON BRIDGE RD (SB),Local,5050-003 STRAWBRIDGE RD From MANSION CROSS LA To LONDON BRIDGE RD (SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,69,2,1999/01/07 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,26933,0.07957506,420.16,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,160.304131187601
443,5050-002,STRAWBRIDGE RD,HUNTS NECK TL,MANSION CROSS LA,Local,5050-002 STRAWBRIDGE RD From HUNTS NECK TL To MANSION CROSS LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,63,2,1999/01/07 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,26932,0.13680605,722.34,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,275.340433809942
444,5050-001,STRAWBRIDGE RD,S DEAD END,HUNTS NECK TL,Local,5050-001 STRAWBRIDGE RD From S DEAD END To HUNTS NECK TL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,63,2,1999/01/07 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,K11,26931,0.29537988,1559.61,2024/08/21 21:27:27+00,2025,0.74,2024/09/09 18:16:58+00,594.108425251723
445,6230-001,GALVANI DR (SB),DAM NECK RD (EB),END MEDIAN,Local,6230-001 GALVANI DR (SB) From DAM NECK RD (EB) To END MEDIAN,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,75,2,1999/04/28 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,97146,0.13048702,688.97,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,262.996621175677
446,0269-014,BOLD RULER DR,OCEAN LAKES DR,DAM NECK RD (EB),Local,0269-014 BOLD RULER DR From OCEAN LAKES DR To DAM NECK RD (EB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,50,0,68,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,15612,0.12658802,668.38,2024/08/21 21:27:27+00,2025,0.53,2024/09/09 18:16:58+00,255.14895670287
447,0408-009,GALVANI DR (NB),CASUAL CT,DAM NECK RD (EB),Local,0408-009 GALVANI DR (NB) From CASUAL CT To DAM NECK RD (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,83,2,1999/04/28 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,16273,0.07156523,377.86,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,144.253480689838
448,0269-012,BOLD RULER DR,KITIMAL DR,HECATE DR,Local,0269-012 BOLD RULER DR From KITIMAL DR To HECATE DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,52,0,69,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,15610,0.16734542,883.58,2024/08/21 21:27:27+00,2025,0.73,2024/09/09 18:16:58+00,337.263947135909
449,0269-013,BOLD RULER DR,HECATE DR,OCEAN LAKES DR,Local,0269-013 BOLD RULER DR From HECATE DR To OCEAN LAKES DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,49,0,75,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,M10,15611,0.07934249,418.93,2024/08/21 21:27:27+00,2025,0.32,2024/09/09 18:16:58+00,159.918410563637
450,0378-001,DWYER RD,OLD DAM NECK RD,WASSERMAN DR,Local,0378-001 DWYER RD From OLD DAM NECK RD To WASSERMAN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,74,2,1998/09/02 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,94777,0.07695631,406.33,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,154.840262584209
451,5041-001,STORM LAKE DR,OLD DAM NECK RD,LOCKRIDGE CT,Local,5041-001 STORM LAKE DR From OLD DAM NECK RD To LOCKRIDGE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,72,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,96967,0.04694608,247.88,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,94.4437134646875
452,0553-006,OLD DAM NECK RD,UPTON DR (NB),ASTON LA,Local,0553-006 OLD DAM NECK RD From UPTON DR (NB) To ASTON LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,18,0,69,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92343,0.0558101,294.68,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,112.22910122769
453,0553-002,OLD DAM NECK RD,FLAMMARION DR,WELLSFORD DR,Local,0553-002 OLD DAM NECK RD From FLAMMARION DR To WELLSFORD DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,59,0,75,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,97124,0.23026644,1215.81,2024/08/21 21:27:27+00,2025,1.13,2024/09/09 18:16:58+00,462.932417239896
454,0553-003,OLD DAM NECK RD,WELLSFORD DR,DWYER RD,Local,0553-003 OLD DAM NECK RD From WELLSFORD DR To DWYER RD,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,60,0,77,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92340,0.03673494,193.96,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,73.8705919118698
455,0553-004,OLD DAM NECK RD,DWYER RD,STORM LAKE DR,Local,0553-004 OLD DAM NECK RD From DWYER RD To STORM LAKE DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,36,0,74,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92341,0.19499446,1029.57,2024/08/21 21:27:27+00,2025,0.58,2024/09/09 18:16:58+00,392.123200483779
456,0553-005,OLD DAM NECK RD,STORM LAKE DR,UPTON DR (NB),Local,0553-005 OLD DAM NECK RD From STORM LAKE DR To UPTON DR (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,40,0,76,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92342,0.07386979,390.03,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,148.534138607157
457,0553-007,OLD DAM NECK RD,ASTON LA,EASTBORNE DR,Local,0553-007 OLD DAM NECK RD From ASTON LA To EASTBORNE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,69,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92344,0.06177963,326.2,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,124.226255406174
458,0553-008,OLD DAM NECK RD,EASTBORNE DR,CARMA CT,Local,0553-008 OLD DAM NECK RD From EASTBORNE DR To CARMA CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,71,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 5,L10,92345,0.04775375,252.14,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,96.0259657026161
459,0760-009,PLAZA TR S (SB),BRENNEMAN TL,PRINCESS ANNE RD (NB),Arterial Major,0760-009 PLAZA TR S (SB) From BRENNEMAN TL To PRINCESS ANNE RD (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,34,23340,65,2,1999/04/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,E09,1841296,0.18512616,977.47,2024/08/21 21:27:27+00,2025,0.52,2024/09/09 18:16:58+00,372.385121696278
460,8086-001,HEALTHY WY (EB),START MEDIAN,PLAZA TR S(SB),Local,8086-001 HEALTHY WY (EB) From START MEDIAN To PLAZA TR S(SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,67,2,2001/06/01 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 1,E09,1727453,0.09384192,495.49,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,188.588330838245
